#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
5C	HRLQ	59.492401	-138.828903	69
5F	OK01	53.50898	-168.236206	144.5
5F	OK02	53.522991	-168.067764	199.3
5F	OK03	53.475288	-167.946365	132.3
5F	OK04	53.363331	-167.975327	181.7
5F	OK05	53.34024	-168.337418	39
5F	OK06	53.453899	-168.172852	571.2
5F	OK07	53.46032	-168.101151	406.6
5F	OK08	53.431	-168.10257	669.3
5F	OK09	53.428631	-168.070206	484
5F	OK10	53.404449	-168.18573	643.7
5F	OK11	53.40942	-168.135345	435.6
5F	OK12	53.39257	-168.10881	624.5
5F	OK13	53.293301	-168.206177	110.3
6J	CH01	56.0479	-156.6918	0.1
6J	CH02	55.2487	-159.8706	0.2
6J	CH03	55.9209	-159.1281	0.2
6J	EP23	56.9071	-157.02	17
6J	KA03	57.6132	-152.2353	18
6J	KD12	57.3131	-154.6121	76
6J	KS13	56.9465	-154.175	35
6J	KT07	57.5375	-153.9813	25
7C	MM01	59.7153	-135.051	885
7C	MM02	59.8029	-134.8387	753
7C	MM03	59.9992	-134.6654	698
7C	MM04	60.24	-134.5509	840
7C	MM05	60.3412	-133.9864	831
7C	MM06	60.4834	-133.306	715
7C	MM07	60.7272	-133.0708	852
7C	MM08	61.1496	-133.0788	850
7C	MM09	61.3568	-133.021	939
7C	MM10	61.5744	-133.0906	1138
7C	MM11	61.8624	-132.9147	967
7C	MM12	61.9525	-132.4607	880
7C	MM13	61.9564	-132.5498	863
7C	MM14	61.9733	-132.4257	731
7C	MM15	61.9764	-132.5815	803
7C	MM16	62.0378	-132.2521	772
7C	MM17	62.0789	-131.9483	1023
7C	MM18	62.2424	-131.734	827
7C	MM19	62.3754	-131.4946	862
7C	MM20	62.5322	-131.3588	915
7C	MM21	62.6859	-131.1073	945
7C	MM22	62.744	-131.0108	928
7C	MM23	62.8713	-130.8161	984
7C	MM24	62.9184	-130.5585	979
7C	MM25	63.0049	-130.419	1080
7C	MM26	63.081	-130.1928	1137
7C	MM27	63.1749	-130.2005	1188
7C	MM41	63.2552	-130.0124	1428
7J	CE1	65.125587	-147.4758	0
7J	R1A	65.125801	-147.475754	0
7J	R1B	65.125427	-147.475403	0
7J	R1C	65.125526	-147.476303	0
9C	2A08	53.6955	-166.7253	135.4
9C	2A11	53.6955	-166.7401	66.5
9C	3A04	53.7763	-166.2194	133.5
9C	3A13	53.7828	-166.2089	116.8
AK	A19K	70.2043	-161.0713	24
AK	A21K	71.3221	-156.6175	5
AK	A22K	71.0033	-154.9742	6
AK	ANM	64.5646	-165.3732	338
AK	B18K	69.3641	-161.8016	222
AK	B20K	70.0079	-157.1599	74.6
AK	B22K	70.34	-153.4196	49.7
AK	BAE	61.1319	-148.1234	578
AK	BAGL	60.489601	-142.091507	1470
AK	BAL	61.036	-142.3462	1318
AK	BARK	60.403	-142.493103	1389.6
AK	BARN	61.059502	-141.662201	1689
AK	BAT	61.1416	-148.1751	1027
AK	BAW	61.1501	-148.1501	542
AK	BCP	59.9534	-139.6369	421.8
AK	BERG	60.3932	-143.700394	624
AK	BESE	58.5792	-134.8559	867
AK	BGLC	60.1205	-143.2841	10
AK	BMR	60.9677	-144.6051	842
AK	BPAW	64.099701	-150.987305	619
AK	BRLK	59.7511	-150.9063	409
AK	BRSE	59.741699	-150.741394	541
AK	BWN	64.173203	-149.299103	356
AK	C16K	68.2746	-165.3436	102
AK	C18K	68.6483	-161.1943	845
AK	C19K	69.1049	-159.5874	745
AK	C21K	69.1565	-154.7833	409
AK	C23K	69.836	-150.6126	179
AK	C26K	69.9175	-144.9122	139
AK	C27K	69.626	-143.7114	392
AK	CAPN	60.768299	-151.1539	47
AK	CAST	63.4188	-152.084396	611
AK	CCB	64.6453	-147.8053	233
AK	CHI	55.8218	-155.6225	203
AK	CHN	54.831001	-159.589493	71
AK	CHUM	63.8827	-152.3152	217
AK	CHX	60.063099	-141.117798	1085
AK	CNP	59.5251	-151.2373	564
AK	COLD	67.2269	-150.2038	380
AK	COLD	67.2278	-150.207	374
AK	CRQ	60.7523	-143.092606	1392.3
AK	CTG	60.9649	-141.3401	1507.9
AK	CUT	62.4058	-150.2625	574
AK	CYK	60.082298	-142.487198	23
AK	D17K	67.6988	-163.0831	172
AK	D20K	68.7132	-156.6132	577
AK	D22K	68.8799	-152.6821	532
